timestamp_s,latitude,longitude,altitude_m,rel_alt_m,roll,pitch,yaw,speed_mps
1.833,42.668551,21.196564,680.86,55.86,0.0,-60.0,45.0,4.5
1.867,42.668552,21.196565,680.87,55.87,0.0,-60.0,45.0,4.5
1.900,42.668553,21.196566,680.89,55.89,0.0,-60.0,45.0,4.5
1.933,42.668554,21.196568,680.90,55.90,0.0,-60.0,45.0,4.5
1.967,42.668555,21.196569,680.91,55.91,0.0,-60.0,45.0,4.5
2.000,42.668556,21.196570,680.93,55.93,0.0,-60.0,45.0,4.5
2.033,42.668557,21.196571,680.94,55.94,0.0,-60.0,45.0,4.5
2.067,42.668558,21.196572,680.95,55.95,0.0,-60.0,45.0,4.5
2.100,42.668559,21.196573,680.97,55.97,0.0,-60.0,45.0,4.5
2.133,42.668560,21.196575,680.98,55.98,0.0,-60.0,45.0,4.5
2.167,42.668561,21.196576,680.99,55.99,0.0,-60.0,45.0,4.5
2.200,42.668562,21.196577,681.00,56.00,0.0,-60.0,45.0,4.5
2.233,42.668563,21.196578,681.02,56.02,0.0,-60.0,45.0,4.5
2.267,42.668563,21.196579,681.03,56.03,0.0,-60.0,45.0,4.5
2.300,42.668564,21.196580,681.04,56.04,0.0,-60.0,45.0,4.5
2.333,42.668565,21.196582,681.05,56.05,0.0,-60.0,45.0,4.5
2.367,42.668566,21.196583,681.06,56.06,0.0,-60.0,45.0,4.5
2.400,42.668567,21.196584,681.08,56.08,0.0,-60.0,45.0,4.5
2.433,42.668568,21.196585,681.09,56.09,0.0,-60.0,45.0,4.5
2.467,42.668569,21.196586,681.10,56.10,0.0,-60.0,45.0,4.5
2.500,42.668570,21.196587,681.11,56.11,0.0,-60.0,45.0,4.5
2.533,42.668571,21.196589,681.12,56.12,0.0,-60.0,45.0,4.5
2.567,42.668572,21.196590,681.13,56.13,0.0,-60.0,45.0,4.5
2.600,42.668573,21.196591,681.14,56.14,0.0,-60.0,45.0,4.5
2.633,42.668574,21.196592,681.15,56.15,0.0,-60.0,45.0,4.5
2.667,42.668575,21.196593,681.16,56.16,0.0,-60.0,45.0,4.5
2.700,42.668576,21.196594,681.17,56.17,0.0,-60.0,45.0,4.5
2.733,42.668577,21.196596,681.19,56.19,0.0,-60.0,45.0,4.5
2.767,42.668577,21.196597,681.20,56.20,0.0,-60.0,45.0,4.5
2.800,42.668578,21.196598,681.21,56.21,0.0,-60.0,45.0,4.5
2.833,42.668579,21.196599,681.22,56.22,0.0,-60.0,45.0,4.5
2.867,42.668580,21.196600,681.22,56.22,0.0,-60.0,45.0,4.5
2.900,42.668581,21.196601,681.23,56.23,0.0,-60.0,45.0,4.5
2.933,42.668582,21.196603,681.24,56.24,0.0,-60.0,45.0,4.5
2.967,42.668583,21.196604,681.25,56.25,0.0,-60.0,45.0,4.5
3.000,42.668584,21.196605,681.26,56.26,0.0,-60.0,45.0,4.5
3.033,42.668585,21.196606,681.27,56.27,0.0,-60.0,45.0,4.5
3.067,42.668586,21.196607,681.28,56.28,0.0,-60.0,45.0,4.5
3.100,42.668587,21.196608,681.29,56.29,0.0,-60.0,45.0,4.5
3.133,42.668588,21.196610,681.30,56.30,0.0,-60.0,45.0,4.5
3.167,42.668589,21.196611,681.31,56.31,0.0,-60.0,45.0,4.5
3.200,42.668590,21.196612,681.31,56.31,0.0,-60.0,45.0,4.5
3.233,42.668591,21.196613,681.32,56.32,0.0,-60.0,45.0,4.5
3.267,42.668591,21.196614,681.33,56.33,0.0,-60.0,45.0,4.5
3.300,42.668592,21.196616,681.34,56.34,0.0,-60.0,45.0,4.5
3.333,42.668593,21.196617,681.34,56.34,0.0,-60.0,45.0,4.5
3.367,42.668594,21.196618,681.35,56.35,0.0,-60.0,45.0,4.5
3.400,42.668595,21.196619,681.36,56.36,0.0,-60.0,45.0,4.5
3.433,42.668596,21.196620,681.37,56.37,0.0,-60.0,45.0,4.5
3.467,42.668597,21.196621,681.37,56.37,0.0,-60.0,45.0,4.5
3.500,42.668598,21.196623,681.38,56.38,0.0,-60.0,45.0,4.5
3.533,42.668599,21.196624,681.39,56.39,0.0,-60.0,45.0,4.5
3.567,42.668600,21.196625,681.39,56.39,0.0,-60.0,45.0,4.5
3.600,42.668601,21.196626,681.40,56.40,0.0,-60.0,45.0,4.5
3.633,42.668602,21.196627,681.40,56.40,0.0,-60.0,45.0,4.5
3.667,42.668603,21.196628,681.41,56.41,0.0,-60.0,45.0,4.5
3.700,42.668604,21.196630,681.42,56.42,0.0,-60.0,45.0,4.5
3.733,42.668605,21.196631,681.42,56.42,0.0,-60.0,45.0,4.5
3.767,42.668605,21.196632,681.43,56.43,0.0,-60.0,45.0,4.5
3.800,42.668606,21.196633,681.43,56.43,0.0,-60.0,45.0,4.5
3.833,42.668607,21.196634,681.44,56.44,0.0,-60.0,45.0,4.5
3.867,42.668608,21.196635,681.44,56.44,0.0,-60.0,45.0,4.5
3.900,42.668609,21.196637,681.45,56.45,0.0,-60.0,45.0,4.5
3.933,42.668610,21.196638,681.45,56.45,0.0,-60.0,45.0,4.5
3.967,42.668611,21.196639,681.45,56.45,0.0,-60.0,45.0,4.5
4.000,42.668612,21.196640,681.46,56.46,0.0,-60.0,45.0,4.5
4.033,42.668613,21.196641,681.46,56.46,0.0,-60.0,45.0,4.5
4.067,42.668614,21.196642,681.47,56.47,0.0,-60.0,45.0,4.5
4.100,42.668615,21.196644,681.47,56.47,0.0,-60.0,45.0,4.5
4.133,42.668616,21.196645,681.47,56.47,0.0,-60.0,45.0,4.5
4.167,42.668617,21.196646,681.48,56.48,0.0,-60.0,45.0,4.5
4.200,42.668618,21.196647,681.48,56.48,0.0,-60.0,45.0,4.5
4.233,42.668619,21.196648,681.48,56.48,0.0,-60.0,45.0,4.5
4.267,42.668619,21.196649,681.48,56.48,0.0,-60.0,45.0,4.5
4.300,42.668620,21.196651,681.49,56.49,0.0,-60.0,45.0,4.5
4.333,42.668621,21.196652,681.49,56.49,0.0,-60.0,45.0,4.5
4.367,42.668622,21.196653,681.49,56.49,0.0,-60.0,45.0,4.5
4.400,42.668623,21.196654,681.49,56.49,0.0,-60.0,45.0,4.5
4.433,42.668624,21.196655,681.49,56.49,0.0,-60.0,45.0,4.5
4.467,42.668625,21.196656,681.49,56.49,0.0,-60.0,45.0,4.5
4.500,42.668626,21.196658,681.50,56.50,0.0,-60.0,45.0,4.5
4.533,42.668627,21.196659,681.50,56.50,0.0,-60.0,45.0,4.5
4.567,42.668628,21.196660,681.50,56.50,0.0,-60.0,45.0,4.5
4.600,42.668629,21.196661,681.50,56.50,0.0,-60.0,45.0,4.5
4.633,42.668630,21.196662,681.50,56.50,0.0,-60.0,45.0,4.5
4.667,42.668631,21.196663,681.50,56.50,0.0,-60.0,45.0,4.5
4.700,42.668632,21.196665,681.50,56.50,0.0,-60.0,45.0,4.5
4.733,42.668633,21.196666,681.50,56.50,0.0,-60.0,45.0,4.5
4.767,42.668633,21.196667,681.50,56.50,0.0,-60.0,45.0,4.5
4.800,42.668634,21.196668,681.50,56.50,0.0,-60.0,45.0,4.5
4.833,42.668635,21.196669,681.50,56.50,0.0,-60.0,45.0,4.5
4.867,42.668636,21.196670,681.50,56.50,0.0,-60.0,45.0,4.5
4.900,42.668637,21.196672,681.50,56.50,0.0,-60.0,45.0,4.5
4.933,42.668638,21.196673,681.50,56.50,0.0,-60.0,45.0,4.5
4.967,42.668639,21.196674,681.49,56.49,0.0,-60.0,45.0,4.5
5.000,42.668640,21.196675,681.49,56.49,0.0,-60.0,45.0,4.5
5.033,42.668641,21.196676,681.49,56.49,0.0,-60.0,45.0,4.5
5.067,42.668642,21.196677,681.49,56.49,0.0,-60.0,45.0,4.5
5.100,42.668643,21.196679,681.49,56.49,0.0,-60.0,45.0,4.5
5.133,42.668644,21.196680,681.49,56.49,0.0,-60.0,45.0,4.5
5.167,42.668645,21.196681,681.48,56.48,0.0,-60.0,45.0,4.5
5.200,42.668646,21.196682,681.48,56.48,0.0,-60.0,45.0,4.5
5.233,42.668647,21.196683,681.48,56.48,0.0,-60.0,45.0,4.5
5.267,42.668647,21.196684,681.47,56.47,0.0,-60.0,45.0,4.5
5.300,42.668648,21.196686,681.47,56.47,0.0,-60.0,45.0,4.5
5.333,42.668649,21.196687,681.47,56.47,0.0,-60.0,45.0,4.5
5.367,42.668650,21.196688,681.46,56.46,0.0,-60.0,45.0,4.5
5.400,42.668651,21.196689,681.46,56.46,0.0,-60.0,45.0,4.5
5.433,42.668652,21.196690,681.46,56.46,0.0,-60.0,45.0,4.5
5.467,42.668653,21.196691,681.45,56.45,0.0,-60.0,45.0,4.5
5.500,42.668654,21.196693,681.45,56.45,0.0,-60.0,45.0,4.5
5.533,42.668655,21.196694,681.44,56.44,0.0,-60.0,45.0,4.5
5.567,42.668656,21.196695,681.44,56.44,0.0,-60.0,45.0,4.5
5.600,42.668657,21.196696,681.43,56.43,0.0,-60.0,45.0,4.5
5.633,42.668658,21.196697,681.43,56.43,0.0,-60.0,45.0,4.5
5.667,42.668659,21.196698,681.42,56.42,0.0,-60.0,45.0,4.5
5.700,42.668660,21.196700,681.42,56.42,0.0,-60.0,45.0,4.5
5.733,42.668661,21.196701,681.41,56.41,0.0,-60.0,45.0,4.5
5.767,42.668661,21.196702,681.41,56.41,0.0,-60.0,45.0,4.5
5.800,42.668662,21.196703,681.40,56.40,0.0,-60.0,45.0,4.5
5.833,42.668663,21.196704,681.40,56.40,0.0,-60.0,45.0,4.5
5.867,42.668664,21.196705,681.39,56.39,0.0,-60.0,45.0,4.5
5.900,42.668665,21.196707,681.38,56.38,0.0,-60.0,45.0,4.5
5.933,42.668666,21.196708,681.38,56.38,0.0,-60.0,45.0,4.5
5.967,42.668667,21.196709,681.37,56.37,0.0,-60.0,45.0,4.5
6.000,42.668668,21.196710,681.36,56.36,0.0,-60.0,45.0,4.5
6.033,42.668669,21.196711,681.36,56.36,0.0,-60.0,45.0,4.5
6.067,42.668670,21.196712,681.35,56.35,0.0,-60.0,45.0,4.5
6.100,42.668671,21.196714,681.34,56.34,0.0,-60.0,45.0,4.5
6.133,42.668672,21.196715,681.33,56.33,0.0,-60.0,45.0,4.5
6.167,42.668673,21.196716,681.33,56.33,0.0,-60.0,45.0,4.5
6.200,42.668674,21.196717,681.32,56.32,0.0,-60.0,45.0,4.5
6.233,42.668675,21.196718,681.31,56.31,0.0,-60.0,45.0,4.5
6.267,42.668675,21.196719,681.30,56.30,0.0,-60.0,45.0,4.5
6.300,42.668676,21.196721,681.29,56.29,0.0,-60.0,45.0,4.5
6.333,42.668677,21.196722,681.29,56.29,0.0,-60.0,45.0,4.5
6.367,42.668678,21.196723,681.28,56.28,0.0,-60.0,45.0,4.5
6.400,42.668679,21.196724,681.27,56.27,0.0,-60.0,45.0,4.5
6.433,42.668680,21.196725,681.26,56.26,0.0,-60.0,45.0,4.5
6.467,42.668681,21.196726,681.25,56.25,0.0,-60.0,45.0,4.5
6.500,42.668682,21.196728,681.24,56.24,0.0,-60.0,45.0,4.5
6.533,42.668683,21.196729,681.23,56.23,0.0,-60.0,45.0,4.5
6.567,42.668684,21.196730,681.22,56.22,0.0,-60.0,45.0,4.5
6.600,42.668685,21.196731,681.21,56.21,0.0,-60.0,45.0,4.5
6.633,42.668686,21.196732,681.20,56.20,0.0,-60.0,45.0,4.5
6.667,42.668687,21.196733,681.19,56.19,0.0,-60.0,45.0,4.5
6.700,42.668688,21.196735,681.18,56.18,0.0,-60.0,45.0,4.5
6.733,42.668689,21.196736,681.17,56.17,0.0,-60.0,45.0,4.5
6.767,42.668689,21.196737,681.16,56.16,0.0,-60.0,45.0,4.5
6.800,42.668690,21.196738,681.15,56.15,0.0,-60.0,45.0,4.5
6.833,42.668691,21.196739,681.14,56.14,0.0,-60.0,45.0,4.5
6.867,42.668692,21.196740,681.13,56.13,0.0,-60.0,45.0,4.5
6.900,42.668693,21.196742,681.12,56.12,0.0,-60.0,45.0,4.5
6.933,42.668694,21.196743,681.11,56.11,0.0,-60.0,45.0,4.5
6.967,42.668695,21.196744,681.10,56.10,0.0,-60.0,45.0,4.5
7.000,42.668696,21.196745,681.08,56.08,0.0,-60.0,45.0,4.5
7.033,42.668697,21.196746,681.07,56.07,0.0,-60.0,45.0,4.5
7.067,42.668698,21.196747,681.06,56.06,0.0,-60.0,45.0,4.5
7.100,42.668699,21.196749,681.05,56.05,0.0,-60.0,45.0,4.5
7.133,42.668700,21.196750,681.04,56.04,0.0,-60.0,45.0,4.5
7.167,42.668701,21.196751,681.03,56.03,0.0,-60.0,45.0,4.5
7.200,42.668702,21.196752,681.01,56.01,0.0,-60.0,45.0,4.5
7.233,42.668703,21.196753,681.00,56.00,0.0,-60.0,45.0,4.5
7.267,42.668703,21.196754,680.99,55.99,0.0,-60.0,45.0,4.5
7.300,42.668704,21.196756,680.98,55.98,0.0,-60.0,45.0,4.5
7.333,42.668705,21.196757,680.96,55.96,0.0,-60.0,45.0,4.5
7.367,42.668706,21.196758,680.95,55.95,0.0,-60.0,45.0,4.5
7.400,42.668707,21.196759,680.94,55.94,0.0,-60.0,45.0,4.5
7.433,42.668708,21.196760,680.92,55.92,0.0,-60.0,45.0,4.5
7.467,42.668709,21.196761,680.91,55.91,0.0,-60.0,45.0,4.5
7.500,42.668710,21.196763,680.90,55.90,0.0,-60.0,45.0,4.5
7.533,42.668711,21.196764,680.88,55.88,0.0,-60.0,45.0,4.5
7.567,42.668712,21.196765,680.87,55.87,0.0,-60.0,45.0,4.5
7.600,42.668713,21.196766,680.86,55.86,0.0,-60.0,45.0,4.5
7.633,42.668714,21.196767,680.84,55.84,0.0,-60.0,45.0,4.5
7.667,42.668715,21.196768,680.83,55.83,0.0,-60.0,45.0,4.5
7.700,42.668716,21.196770,680.82,55.82,0.0,-60.0,45.0,4.5
7.733,42.668717,21.196771,680.80,55.80,0.0,-60.0,45.0,4.5
7.767,42.668717,21.196772,680.79,55.79,0.0,-60.0,45.0,4.5
7.800,42.668718,21.196773,680.77,55.77,0.0,-60.0,45.0,4.5
7.833,42.668719,21.196774,680.76,55.76,0.0,-60.0,45.0,4.5
7.867,42.668720,21.196775,680.74,55.74,0.0,-60.0,45.0,4.5
7.900,42.668721,21.196776,680.73,55.73,0.0,-60.0,45.0,4.5
7.933,42.668722,21.196778,680.72,55.72,0.0,-60.0,45.0,4.5
7.967,42.668723,21.196779,680.70,55.70,0.0,-60.0,45.0,4.5
8.000,42.668724,21.196780,680.69,55.69,0.0,-60.0,45.0,4.5
8.033,42.668725,21.196781,680.67,55.67,0.0,-60.0,45.0,4.5
8.067,42.668726,21.196782,680.66,55.66,0.0,-60.0,45.0,4.5
8.100,42.668727,21.196783,680.64,55.64,0.0,-60.0,45.0,4.5
8.133,42.668728,21.196785,680.63,55.63,0.0,-60.0,45.0,4.5
8.167,42.668729,21.196786,680.61,55.61,0.0,-60.0,45.0,4.5
8.200,42.668730,21.196787,680.60,55.60,0.0,-60.0,45.0,4.5
8.233,42.668731,21.196788,680.58,55.58,0.0,-60.0,45.0,4.5
8.267,42.668731,21.196789,680.56,55.56,0.0,-60.0,45.0,4.5
8.300,42.668732,21.196790,680.55,55.55,0.0,-60.0,45.0,4.5
8.333,42.668733,21.196792,680.53,55.53,0.0,-60.0,45.0,4.5
8.367,42.668734,21.196793,680.52,55.52,0.0,-60.0,45.0,4.5
8.400,42.668735,21.196794,680.50,55.50,0.0,-60.0,45.0,4.5
8.433,42.668736,21.196795,680.49,55.49,0.0,-60.0,45.0,4.5
8.467,42.668737,21.196796,680.47,55.47,0.0,-60.0,45.0,4.5
8.500,42.668738,21.196797,680.46,55.46,0.0,-60.0,45.0,4.5
8.533,42.668739,21.196799,680.44,55.44,0.0,-60.0,45.0,4.5
8.567,42.668740,21.196800,680.42,55.42,0.0,-60.0,45.0,4.5
8.600,42.668741,21.196801,680.41,55.41,0.0,-60.0,45.0,4.5
8.633,42.668742,21.196802,680.39,55.39,0.0,-60.0,45.0,4.5
8.667,42.668743,21.196803,680.38,55.38,0.0,-60.0,45.0,4.5
8.700,42.668744,21.196804,680.36,55.36,0.0,-60.0,45.0,4.5
8.733,42.668745,21.196806,680.34,55.34,0.0,-60.0,45.0,4.5
8.767,42.668745,21.196807,680.33,55.33,0.0,-60.0,45.0,4.5
8.800,42.668746,21.196808,680.31,55.31,0.0,-60.0,45.0,4.5
8.833,42.668747,21.196809,680.29,55.29,0.0,-60.0,45.0,4.5
8.867,42.668748,21.196810,680.28,55.28,0.0,-60.0,45.0,4.5
8.900,42.668749,21.196811,680.26,55.26,0.0,-60.0,45.0,4.5
8.933,42.668750,21.196813,680.24,55.24,0.0,-60.0,45.0,4.5
8.967,42.668751,21.196814,680.23,55.23,0.0,-60.0,45.0,4.5
9.000,42.668752,21.196815,680.21,55.21,0.0,-60.0,45.0,4.5
9.033,42.668753,21.196816,680.20,55.20,0.0,-60.0,45.0,4.5
9.067,42.668754,21.196817,680.18,55.18,0.0,-60.0,45.0,4.5
9.100,42.668755,21.196818,680.16,55.16,0.0,-60.0,45.0,4.5
9.133,42.668756,21.196820,680.15,55.15,0.0,-60.0,45.0,4.5
9.167,42.668757,21.196821,680.13,55.13,0.0,-60.0,45.0,4.5
9.200,42.668758,21.196822,680.11,55.11,0.0,-60.0,45.0,4.5
9.233,42.668759,21.196823,680.10,55.10,0.0,-60.0,45.0,4.5
9.267,42.668759,21.196824,680.08,55.08,0.0,-60.0,45.0,4.5
9.300,42.668760,21.196825,680.06,55.06,0.0,-60.0,45.0,4.5
9.333,42.668761,21.196827,680.05,55.05,0.0,-60.0,45.0,4.5
9.367,42.668762,21.196828,680.03,55.03,0.0,-60.0,45.0,4.5
9.400,42.668763,21.196829,680.01,55.01,0.0,-60.0,45.0,4.5
9.433,42.668764,21.196830,680.00,55.00,0.0,-60.0,45.0,4.5
9.467,42.668765,21.196831,679.98,54.98,0.0,-60.0,45.0,4.5
9.500,42.668766,21.196832,679.96,54.96,0.0,-60.0,45.0,4.5
9.533,42.668767,21.196834,679.95,54.95,0.0,-60.0,45.0,4.5
9.567,42.668768,21.196835,679.93,54.93,0.0,-60.0,45.0,4.5
9.600,42.668769,21.196836,679.91,54.91,0.0,-60.0,45.0,4.5
9.633,42.668770,21.196837,679.90,54.90,0.0,-60.0,45.0,4.5
9.667,42.668771,21.196838,679.88,54.88,0.0,-60.0,45.0,4.5
9.700,42.668772,21.196839,679.86,54.86,0.0,-60.0,45.0,4.5
9.733,42.668773,21.196841,679.85,54.85,0.0,-60.0,45.0,4.5
9.767,42.668773,21.196842,679.83,54.83,0.0,-60.0,45.0,4.5
9.800,42.668774,21.196843,679.81,54.81,0.0,-60.0,45.0,4.5
9.833,42.668775,21.196844,679.80,54.80,0.0,-60.0,45.0,4.5
9.867,42.668776,21.196845,679.78,54.78,0.0,-60.0,45.0,4.5
9.900,42.668777,21.196846,679.76,54.76,0.0,-60.0,45.0,4.5
9.933,42.668778,21.196848,679.75,54.75,0.0,-60.0,45.0,4.5
9.967,42.668779,21.196849,679.73,54.73,0.0,-60.0,45.0,4.5
10.000,42.668780,21.196850,679.71,54.71,0.0,-60.0,45.0,4.5
10.033,42.668781,21.196851,679.70,54.70,0.0,-60.0,45.0,4.5
10.067,42.668782,21.196852,679.68,54.68,0.0,-60.0,45.0,4.5
10.100,42.668783,21.196853,679.67,54.67,0.0,-60.0,45.0,4.5
10.133,42.668784,21.196855,679.65,54.65,0.0,-60.0,45.0,4.5
10.167,42.668785,21.196856,679.63,54.63,0.0,-60.0,45.0,4.5
10.200,42.668786,21.196857,679.62,54.62,0.0,-60.0,45.0,4.5
10.233,42.668787,21.196858,679.60,54.60,0.0,-60.0,45.0,4.5
10.267,42.668787,21.196859,679.58,54.58,0.0,-60.0,45.0,4.5
10.300,42.668788,21.196860,679.57,54.57,0.0,-60.0,45.0,4.5
10.333,42.668789,21.196862,679.55,54.55,0.0,-60.0,45.0,4.5
10.367,42.668790,21.196863,679.54,54.54,0.0,-60.0,45.0,4.5
10.400,42.668791,21.196864,679.52,54.52,0.0,-60.0,45.0,4.5
10.433,42.668792,21.196865,679.51,54.51,0.0,-60.0,45.0,4.5
10.467,42.668793,21.196866,679.49,54.49,0.0,-60.0,45.0,4.5
10.500,42.668794,21.196867,679.47,54.47,0.0,-60.0,45.0,4.5
10.533,42.668795,21.196869,679.46,54.46,0.0,-60.0,45.0,4.5
10.567,42.668796,21.196870,679.44,54.44,0.0,-60.0,45.0,4.5
10.600,42.668797,21.196871,679.43,54.43,0.0,-60.0,45.0,4.5
10.633,42.668798,21.196872,679.41,54.41,0.0,-60.0,45.0,4.5
10.667,42.668799,21.196873,679.40,54.40,0.0,-60.0,45.0,4.5
10.700,42.668800,21.196874,679.38,54.38,0.0,-60.0,45.0,4.5
10.733,42.668801,21.196876,679.37,54.37,0.0,-60.0,45.0,4.5
10.767,42.668801,21.196877,679.35,54.35,0.0,-60.0,45.0,4.5
10.800,42.668802,21.196878,679.34,54.34,0.0,-60.0,45.0,4.5
10.833,42.668803,21.196879,679.32,54.32,0.0,-60.0,45.0,4.5
10.867,42.668804,21.196880,679.31,54.31,0.0,-60.0,45.0,4.5
10.900,42.668805,21.196881,679.29,54.29,0.0,-60.0,45.0,4.5
10.933,42.668806,21.196883,679.28,54.28,0.0,-60.0,45.0,4.5
10.967,42.668807,21.196884,679.26,54.26,0.0,-60.0,45.0,4.5
11.000,42.668808,21.196885,679.25,54.25,0.0,-60.0,45.0,4.5
11.033,42.668809,21.196886,679.23,54.23,0.0,-60.0,45.0,4.5
11.067,42.668810,21.196887,679.22,54.22,0.0,-60.0,45.0,4.5
11.100,42.668811,21.196889,679.21,54.21,0.0,-60.0,45.0,4.5
11.133,42.668812,21.196890,679.19,54.19,0.0,-60.0,45.0,4.5
11.167,42.668813,21.196891,679.18,54.18,0.0,-60.0,45.0,4.5
11.200,42.668814,21.196892,679.16,54.16,0.0,-60.0,45.0,4.5
11.233,42.668815,21.196893,679.15,54.15,0.0,-60.0,45.0,4.5
11.267,42.668815,21.196894,679.14,54.14,0.0,-60.0,45.0,4.5
11.300,42.668816,21.196896,679.12,54.12,0.0,-60.0,45.0,4.5
11.333,42.668817,21.196897,679.11,54.11,0.0,-60.0,45.0,4.5
11.367,42.668818,21.196898,679.10,54.10,0.0,-60.0,45.0,4.5
11.400,42.668819,21.196899,679.08,54.08,0.0,-60.0,45.0,4.5
11.433,42.668820,21.196900,679.07,54.07,0.0,-60.0,45.0,4.5
11.467,42.668821,21.196901,679.06,54.06,0.0,-60.0,45.0,4.5
11.500,42.668822,21.196903,679.04,54.04,0.0,-60.0,45.0,4.5
11.533,42.668823,21.196904,679.03,54.03,0.0,-60.0,45.0,4.5
11.567,42.668824,21.196905,679.02,54.02,0.0,-60.0,45.0,4.5
11.600,42.668825,21.196906,679.01,54.01,0.0,-60.0,45.0,4.5
11.633,42.668826,21.196907,678.99,53.99,0.0,-60.0,45.0,4.5
11.667,42.668827,21.196908,678.98,53.98,0.0,-60.0,45.0,4.5
11.700,42.668828,21.196910,678.97,53.97,0.0,-60.0,45.0,4.5
11.733,42.668829,21.196911,678.96,53.96,0.0,-60.0,45.0,4.5
11.767,42.668829,21.196912,678.94,53.94,0.0,-60.0,45.0,4.5
11.800,42.668830,21.196913,678.93,53.93,0.0,-60.0,45.0,4.5
11.833,42.668831,21.196914,678.92,53.92,0.0,-60.0,45.0,4.5
